,Question,reponse,type
0,اظن اني احتاج لاستشار ة مختص في العلاج السلوكي المعرفي لكن لا استطيع فعمري فقط17 و عائلتي لن تتقبل هذا الامر فهل هناك حل اخر و شكرا,ما هي المشكله التي تعاني منها,علم النفس
1,ابنتي 14 سنه تعاني منذ سنتين من الوسواس القهري ماعلاجه,يعتمد ذلك على فهم الأعراض بشكل شامل والتشخيص الصحيح للحالة ومن ثم ستضمنين ايجاد العلاج المناسب لحالتها .. أنصحك بمراجعة أخصائي أو طبيب نفسي,علم النفس
2,مرحبا دكتوره انا ولدي توفى امامي وبين يدي توفى في جلطه في القلب وانا اعاني من الخوف والقل اتخيل اني سوف تجيني جلطه واموت واي حد يقول عن مرض اخاف جدا واضل افكر فيه,"تحتاج لمزيد من التشخيص لدى متخصص لمعرفة تفاصيل عن الحالة ومدتها
وبناءا على ذلك تحتاج لمعالجة نفسيه مرتبطة بطبيعة حالتك ومدى شدتها",علم النفس
3,أشعر بإكتئاب شديد وحزن وابكي واخاف من المستقبل بلغت 33سنه بدون زواج ونظرة الناس تقتلني لايفارقني الاحساس بالنقص والدونيه واصبحت ولاأخرج وكارهه حالي وتعيسه وافكر فى الانتحار,مساء الخير.... انت بحاجه لزيارة طبيب نفسي.. ليساعدك.. ولكن تذكري الزواج والارتباط جزء من الحياة وليس كل الحياة...,علم النفس
4,ماعلاج الخوف الاجتماعي ونكران الذات لمن هو في عز شبابه ؟ :(,صديقي بحاجه لمراجعة معالج سلوكي,علم النفس
5,كيف اتغلب على توتر الامتحان ؟,"التوتر السابق للامتحانات أمر مقبول بل وصحي، لأن لو لم يكن هناك توتر قبل الامتحان لما كان هناك حافز للمذاكرة، لكن المشكلة حين يزيد التوتر عن تحمل الشخص فيعوقه عن الاستذكار..
في هذه الحالة يجب تقييمك من قبل طبيب نفسي لوصف العلاج المناسب لحالتك، وهو علاج بسيط ويمكن التوقف عنه بمجرد انتهاء الامتحانات.
أنصحك بزيارة طبيب نفسي ليقيم حالتك بشكل دقيق ويصف لك العلاج اللازم",علم النفس
6,أشعر بوتر وخجل عندما أتعامل مع الاخرين,قد تعاني من اضطراب الرهاب الاجتماعي، أنصحك بزيارة طبيب نفسي لتقييم حالتك بدقة ووصف العلاج المناسب,علم النفس
7,هل يعتبر حب البنت لللبنت كانهم حبيبان مرض نفسي؟,قد يكون هناك عامل نفسي او مرضي وراء هذا الشعور. انصحك بمراجعة طبيب الأمراض النفسية.,علم النفس
8,"كيف احلل شخصيتي
ودي اعرف شخصيتي حقيقه","الانسان يستطيع ان يتعرف على الكثير من خواص ذاته من خلال ملاحظة نفسه ملاحظة موضوعيه ومن خلال تفسير ذلك بحياد وشفافيه وهذا سيساعد بشكل اكبر لو اقترن بالمقاييس والاختبارات النفسية ونتائجها
فالشخصية سمات وصفات ولمعرفة خواصها بشكل حقيقي يحتاج الانسان ان يخضع لاختبارات نفسيه يقوم بها تحت اشراف متخصص ليساعده في تحليلها وتفسيرها ومعرفتها .",علم النفس
9,انا خطيبي ﻻ يغار علية وحبة قل كثيرا ولم يعد يهتم بي كالسابق رغم انة كان غيورا جدا في ماضي وقد اصبح على خطوبتنا 3 سنوات ممكن طريقة اجعلة يغار ويحبني,الغيره مرحلة غير ناضجة من مراحل الحب فالحب الناضج مبني على الثقة المتبادلة والانجذاب العاطفي والموافقة السلوكيه والوجدانية,علم النفس
10,منذ عامان وانا اشعر بكرة شديد لحياتي ومزاجية شديدة وحزن وذالالك لحدوث مشكلة تلاها اصابتي بمرض مزمن ؟ هل احتاج لعلاج نفسي ؟,تحتاج لمراجعة اقرب عيادة نفسية لتقييم حالتك,علم النفس
11,منذ عامان شعور بكرة للحياة بعد مشكلة معي ثم بدائت اتوسوس باني اصبت بمرض معين ثم رجعت عن هذة الوسوسة ثم اصبت فعلا بربو الصدر لذالك اشعر دائما بالحزن والمزاجية الشديدة، ما الحل؟,هذه علامات الاكتاب الظرفي يمكن علاجها بسهولة من خلال طبيب نفسي,علم النفس
12,زوجى يأخذ اوبلاكس 5مجم مضاد للذهان بناءا على رغبه الطبيب من يوم 9/8 ولكنه رفض يأخده اليوم ومطلقا هل هذا له اثار جانبيه وهل يمكن ان يذوب ف العصير او الشاى ارجو الرد سريعا,لا يمكن اذابته في السوائل لانه سيفقد فعاليته راجعي طبيبه المعالج لاخذ المشورة بسرعه,علم النفس
13,"السلام عليكم
الى حضرة الدكاترة المحترمين اذا ممكن اريد السؤال عن حالتي حيث اني اعاني من مرض نفسي منذ 15 سنه وهو نتف الشعر من اللحية والصدر ؟ وتحسسه في الفم فهل من علاج",تحتاج الى تشخيص اكثر دقه عياديه ولذلك من الضروري ان ترجع اقرب عيادة نفسية,علم النفس
